,title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
335,Need U (100%) (feat. A*M*E) - Radio Edit,Duke Dumont,destroy techno,2013.0,2020‑06‑11,124.0,85.0,67.0,-5.0,39.0,46.0,174.0,0.0,5.0,65.0,2013.0,Solo
427,I Got U,Duke Dumont,destroy techno,2014.0,2020‑06‑10,121.0,76.0,64.0,-8.0,9.0,46.0,286.0,0.0,4.0,65.0,2014.0,Solo
